unit_type_id,property_id,name,created_at,updated_at,deleted_at
183,PR0133,Type 2,2021-12-09 06:46,2021-12-09 06:46,
184,PR0133,Type 3,2021-12-09 06:46,2021-12-09 06:46,
185,PR0279,Type 1,2021-12-09 06:46,2021-12-09 06:46,
186,PR0233,Type 1,2021-12-09 06:46,2021-12-09 06:46,
187,PR0233,Type 2,2021-12-09 06:46,2021-12-09 06:46,
188,PR0233,Type 3,2021-12-09 06:46,2021-12-09 06:46,
189,PR0185,Type 1,2021-12-09 06:47,2021-12-09 06:47,
190,PR0134,Type 1,2021-12-09 06:47,2021-12-09 06:47,
191,PR0134,Type 2,2021-12-09 06:47,2021-12-09 06:47,
192,PR0134,Type 3,2021-12-09 06:47,2021-12-09 06:47,
193,PR0281,Type 1,2021-12-09 06:47,2021-12-09 06:47,
194,PR0234,Type 1,2021-12-09 06:47,2021-12-09 06:47,
195,PR0234,Type 2,2021-12-09 06:47,2021-12-09 06:47,
196,PR0234,Type 3,2021-12-09 06:47,2021-12-09 06:47,
197,PR0186,Type 1,2021-12-09 06:47,2021-12-09 06:47,
198,PR0160,Type 1,2021-12-09 06:47,2021-12-09 06:47,
199,PR0160,Type 2,2021-12-09 06:47,2021-12-09 06:47,
200,PR0160,Type 3,2021-12-09 06:47,2021-12-09 06:47,
201,PR0135,Type 1,2021-12-09 06:47,2021-12-09 06:47,
202,PR0135,Type 2,2021-12-09 06:47,2021-12-09 06:47,
203,PR0135,Type 3,2021-12-09 06:47,2021-12-09 06:47,
204,PR0135,Type 4,2021-12-09 06:47,2021-12-09 06:47,
205,PR0282,Downstairs Hot Water,2021-12-09 06:47,2023-05-22 18:53,
206,PR0282,Upstairs Hot Water,2021-12-09 06:47,2023-05-22 18:53,
207,PR0235,Type 1,2021-12-09 06:47,2021-12-09 06:47,
208,PR0188,Guesthouse,2021-12-09 06:47,2023-03-06 09:56,
209,PR0137,Type 1,2021-12-09 06:47,2021-12-09 06:47,
210,PR0284,Type 1,2021-12-09 06:47,2021-12-09 06:47,
211,PR0236,Type 1,2021-12-09 06:47,2021-12-09 06:47,
212,PR0236,Type 2,2021-12-09 06:47,2021-12-09 06:47,
213,PR0236,Type 3,2021-12-09 06:47,2021-12-09 06:47,
214,PR0236,Type 4,2021-12-09 06:47,2021-12-09 06:47,
215,PR0189,Type 1,2021-12-09 06:48,2021-12-09 06:48,
216,PR0189,Type 2,2021-12-09 06:48,2021-12-09 06:48,
217,PR0189,Type 3,2021-12-09 06:48,2021-12-09 06:48,
218,PR0189,Type 4,2021-12-09 06:48,2021-12-09 06:48,
219,PR0138,Type 1,2021-12-09 06:48,2021-12-09 06:48,
220,PR0138,Type 2,2021-12-09 06:48,2021-12-09 06:48,
221,PR0138,Type 3,2021-12-09 06:48,2021-12-09 06:48,
222,PR0138,Type 4,2021-12-09 06:48,2021-12-09 06:48,
223,PR0286,Type 1,2021-12-09 06:48,2021-12-09 06:48,
224,PR0286,Type 2,2021-12-09 06:48,2021-12-09 06:48,
225,PR0286,Type 3,2021-12-09 06:48,2021-12-09 06:48,
226,PR0286,Type 4,2021-12-09 06:48,2021-12-09 06:48,
